id,name,neighbourhood,latitude,longitude,room_type,property_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,host_is_superhost,instant_bookable
517689727497327207,Historic Renovated True Loft House—German Village,Neighborhood highlights,39.940258,-82.993141,Entire home/apt,Entire home,111,2,82,1.87,258,f,f
519639073681859527,Historic Patio Loft—CONVENTION CENTER/SHORT NORTH,Neighborhood highlights,39.974667,-83.003471,Entire home/apt,Entire condo,95,2,73,1.66,256,f,f
545399852141397588,OSU and Short North 4 BR- Patio and Garage w/EV,Neighborhood highlights,39.98834,-83.00918,Entire home/apt,Entire home,212,1,124,2.78,353,f,t
548403459413089109,Charming Merion Village 2 Bd • King Bed • Patio ✨,Neighborhood highlights,39.93837,-82.99607,Entire home/apt,Entire townhouse,107,2,95,2.42,326,t,f
548450072718440227,*Must See* Cozy & Clean 2 Bedroom Clintonville Gem,Neighborhood highlights,40.02474,-83.01871,Entire home/apt,Entire home,80,1,173,3.91,351,t,f
550105100990883244,Polaris 3 bed 2.5 bath + quick access i71 & i270,Neighborhood highlights,40.14729,-82.99987,Entire home/apt,Entire home,148,30,112,2.59,333,t,f
554328076314246097,Entire Condo near Downtown/Franklinton,Neighborhood highlights,39.95537,-83.03563,Entire home/apt,Entire condo,112,1,162,4.6,349,t,f
556994002815140616,Central Cottage Ranch w/ Pond View & Private Patio,Neighborhood highlights,40.10034,-82.85398,Entire home/apt,Entire home,135,30,7,0.17,268,f,f
557378340093271412,The Carriage House at The Circus House,Neighborhood highlights,39.97717,-83.00962,Entire home/apt,Entire home,244,2,92,2.31,243,t,f
557867793249370021,Lovely 3-bedroom 1.5 bath condo! Heart of the city,Neighborhood highlights,39.99913,-82.97476,Entire home/apt,Entire condo,97,2,60,1.71,84,f,f
560636811769108480,"The cozy ""Gaming House""",Neighborhood highlights,40.02051,-82.9729,Entire home/apt,Entire home,100,2,58,1.34,142,t,f
561646907540506319,The Sunset,Neighborhood highlights,40.06846,-82.9609,Private room,Private room in home,52,5,22,0.51,365,f,f
562178227941475396,"Shalom Cottage - Walk2ConvCtr, Downtown &ShortNth!",Neighborhood highlights,39.98128,-83.00405,Entire home/apt,Entire home,130,2,132,3.03,327,t,f
563920716613840867,Beautiful family home with large finished basement,Neighborhood highlights,40.04228,-82.99638,Entire home/apt,Entire home,177,2,145,3.57,76,t,f
563991021727392325,S02-Tetris -Private Bedroom in Shared Home - 1 Bed,Neighborhood highlights,39.94735,-82.95048,Private room,Private room in home,47,1,172,3.93,4,f,t
564524003956614284,S03-Atari-Private Bedroom in Shared Home - 1 Bed,Neighborhood highlights,39.94766,-82.95072,Private room,Private room in home,46,1,163,3.72,4,f,f
564541740449844487,S01-Jumanji - Private Room in shared home w/ desk,Neighborhood highlights,39.94777,-82.95199,Private room,Private room in home,49,1,125,2.85,5,f,f
564671818455773238,S04-Pinball-Private Basement Room in Shared House,Neighborhood highlights,39.94601,-82.95172,Private room,Private room in home,52,1,171,3.9,5,f,f
568281420873336557,O03-Sapphire-Private Room in Shared Home-1 Bed,Neighborhood highlights,39.9433,-82.96979,Private room,Private room in home,50,1,124,2.9,360,f,f
568283510674588928,O01-The Suite Private Room Only with Own Bathroom,Neighborhood highlights,39.94506,-82.96965,Private room,Private room in home,70,1,95,2.21,365,f,f
568286115303879563,O02-Plum-Private Room in Shared Home - 2 Beds,Neighborhood highlights,39.94511,-82.96949,Private room,Private room in home,59,1,95,2.23,364,f,f
568294167260930740,O05-Mint-Private Room in Shared Home-1 Bed,Neighborhood highlights,39.9434,-82.96882,Private room,Private room in home,47,1,40,0.92,365,f,f
